"","X","participant_id","Date.submitted","Last.page","Start.language","Seed","Date.started","Date.last.action","Please.select.your.choice.below..Clicking.on.the..Yes..button.below.indicates.that..U.00A0...You.have.read.the.above.information..You.voluntarily.agree.to.participate.","participants_gender","participants_gender_other","participants_age_range","participants_living_region","participants_living_region_other","olympics_frequency","international_frequency","continental_frequency","national_frequency","regional_frequency","other_race_name_1","other_race_frequency_1","other_race_name_2","other_race_frequency_2","other_race_name_3","other_race_frequency_3","other_race_name_4","other_race_frequency_4","other_race_name_5","other_race_frequency_5","have_seen_moving_info","nationality_interest","name_interest","age_interest","gender_interest","height_interest","weight_interest","elapsed_time_interest","lap_time_difference_to_other_swimmers_interest","average_lap_time_interest","current_lap_time_interest","lap_time_difference_to_a_record_interest","speed_difference_to_other_swimmers_interest","speed_differences_to_a_record_interest","current_speed","average_speed","history_of_speed","speed_related_events","distance_swam","remaining_distance","distance_difference_to_leader","trace_of_movement","side_by_side_distance","world_record","competition_record","national_record","personal_record","distance_per_stroke","reaction_time","diving_distance","stroke_count","next_passing","record_break","winner","estimation_completion_time","social_media_followers","social_media_by_swimmer","sponsor","other_data_name_1","other_data_interest_1","other_data_name_2","other_data_interest_2","other_data_name_3","other_data_interest_3","other_data_name_4","other_data_interest_4","other_data_name_5","other_data_interest_5","other_data_name_6","other_data_interest_6","other_data_name_7","other_data_interest_7","other_data_name_8","other_data_interest_8","other_data_name_9","other_data_interest_9","other_data_name_10","other_data_interest_10","other_data_name_11","other_data_interest_11","other_data_name_12","other_data_interest_12","other_data_name_13","other_data_interest_13","other_data_name_14","other_data_interest_14","other_data_name_15","other_data_interest_15","other_data_name_16","other_data_interest_16","other_data_name_17","other_data_interest_17","other_data_name_18","other_data_interest_18","other_data_name_19","other_data_interest_19","other_data_name_20","other_data_interest_20","general_comment","Total.time","Group.time..Consent.Form","Question.time..ConsentFormAgree","Group.time..Demographic.Questions","Question.time..GenderIdentification","Question.time..AgeRange","Question.time..AreaLiving","Group.time..Familiarity.with.Swimming","Question.time..WatchingFrequency","Question.time..EventExtension","Group.time..Background.Introduction","Question.time..BackgroundQuestion","Group.time..Main.Task","Question.time..SwimmerMetadata","Question.time..TimeDetail","Question.time..SpeedDetail","Question.time..DistanceDetail","Question.time..RecordDetail","Question.time..TechniqueDetail","Question.time..PredictionDetail","Question.time..ExternalDetail","Group.time..Supplementary.Interesting.Data..Optional.","Question.time..Other","Group.time..General.Comment..Optional.","Question.time..GeneralComment","watching_frequency_grade"
"1",1,1,"2022-02-22 15:28:25",7,"en",656772708,"2022-02-22 15:24:33","2022-02-22 15:28:25","Yes","Woman",NA,"25-34","Europe",NA,"3","1","1","2","0","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","5","4","3","3","3","3","5","4","5","4","5","5","5","4","3","4","4","3","3","4","4","2","5","5","5","5","5","5","4","4","5","5","5","5","3","2","2","heart beat","4","breath","Slightly interetsed","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","Super Clear",236.93,4.34,NA,6.07,NA,NA,NA,10.62,NA,NA,8.02,NA,143.39,NA,NA,NA,NA,NA,NA,NA,NA,44.92,NA,19.57,NA,7
"2",2,8,"2022-02-25 04:29:27",7,"en",1887220246,"2022-02-25 04:25:40","2022-02-25 04:29:27","Yes","Man",NA,"18-24","Asia",NA,"1","0","0","0","0","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","5","5","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","2","5","1","1","5","3","1","2","1","3","1","1","3","3","5","1","1","1","1","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",232.13,4.95,NA,14.57,NA,NA,NA,45.92,NA,NA,22.78,NA,116.62,NA,NA,NA,NA,NA,NA,NA,NA,19.84,NA,7.45,NA,1
"3",3,24,"2022-02-25 13:34:03",7,"en",1520481558,"2022-02-25 13:27:09","2022-02-25 13:34:03","Yes","Man",NA,"25-34","Asia",NA,"1","1","1","1","1","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","No","3","3","2","2","2","3","3","3","3","3","3","4","4","4","2","2","4","2","3","4","2","1","4","4","3","3","4","4","2","2","3","4","4","3","0","3","0","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",415.49,71.24,NA,15.39,NA,NA,NA,52.06,NA,NA,29.1,NA,158.3,NA,NA,NA,NA,NA,NA,NA,NA,62.27,NA,27.13,NA,5
"4",4,28,"2022-02-25 14:43:48",7,"en",1430866974,"2022-02-25 14:37:29","2022-02-25 14:43:48","Yes","Man",NA,"25-34","Europe",NA,"2","1","1","1","0","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","5","2","5","4","4","4","3","4","4","4","5","5","5","4","1","4","3","2","4","5","3","1","5","4","2","5","5","3","4","0","2","5","5","4","1","1","1","the winner record for every match in history","5","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",382.89,183.09,NA,14.96,NA,NA,NA,44.73,NA,NA,9.09,NA,84.98,NA,NA,NA,NA,NA,NA,NA,NA,37.74,NA,8.3,NA,5
"5",5,29,"2022-02-25 14:50:20",7,"en",1343515990,"2022-02-25 14:42:04","2022-02-25 14:50:20","Yes","Man",NA,"25-34","Asia",NA,"1","0","1","0","0","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","4","4","3","1","2","2","3","2","2","3","4","3","4","3","2","0","5","3","5","5","1","1","5","4","2","4","4","4","3","3","4","5","5","4","1","3","2","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",500.1,9.26,NA,7.41,NA,NA,NA,17.85,NA,NA,59.89,NA,383.75,NA,NA,NA,NA,NA,NA,NA,NA,18.28,NA,3.66,NA,2
"6",6,30,"2022-02-25 15:02:02",7,"en",1130570594,"2022-02-25 14:51:53","2022-02-25 15:02:02","Yes","Man",NA,"18-24","Asia",NA,"2","1","0","1","0","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","5","5","3","1","2","2","4","4","2","2","2","3","4","4","2","3","4","3","5","5","3","5","3","3","2","2","4","4","4","4","3","4","5","1","1","1","1","The strokes used in each stage of the medley","5","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",611.1,59.07,NA,51.97,NA,NA,NA,39.18,NA,NA,40.5,NA,174.87,NA,NA,NA,NA,NA,NA,NA,NA,239.03,NA,6.48,NA,4
"7",7,39,"2022-03-08 13:49:48",7,"en",282235566,"2022-03-08 13:42:41","2022-03-08 13:49:48","Yes","Woman",NA,"25-34","Asia",NA,"0","0","0","0","0","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","4","3","4","4","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","1","1","4","1","4","4","5","5","2","4","4","4","4","1","1","1","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",430.1,11.57,NA,15.04,NA,NA,NA,30.12,NA,NA,34.76,NA,321.67,NA,NA,NA,NA,NA,NA,NA,NA,13.07,NA,3.87,NA,0
"8",8,41,"2022-04-15 10:43:16",7,"en",1068433393,"2022-04-15 10:35:15","2022-04-15 10:43:16","Yes","Man",NA,"35-44","Europe",NA,"1","0","0","0","0","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","4","4","3","4","2","2","5","3","4","4","4","4","2","2","2","3","4","2","4","4","2","1","4","3","4","3","2","3","2","3","3","3","4","4","1","1","1","Improvement compared to PB","4","Relevant doping history","4","Strokes per lap","Slightly interetsed","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",483.92,17.38,NA,15.71,NA,NA,NA,21.09,NA,NA,23.14,NA,225.42,NA,NA,NA,NA,NA,NA,NA,NA,166.03,NA,15.15,NA,1
"9",9,42,"2022-04-15 10:55:47",7,"en",894041753,"2022-04-15 10:51:39","2022-04-15 10:55:47","Yes","Man",NA,"35-44","Europe",NA,"1","1","0","0","0","Olympic","1","","Did not select","","Did not select","","Did not select","","Did not select","Yes","3","4","1","1","1","1","5","4","2","2","4","1","1","1","1","1","3","3","3","2","1","1","4","2","1","3","4","4","3","5","2","4","4","5","1","1","1","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",251.4,9.91,NA,10.69,NA,NA,NA,52.59,NA,NA,36.65,NA,129.54,NA,NA,NA,NA,NA,NA,NA,NA,8.01,NA,4.01,NA,2
"10",10,46,"2022-04-15 13:58:55",7,"en",2097694636,"2022-04-15 13:52:16","2022-04-15 13:58:55","Yes","Man",NA,"25-34","Europe",NA,"1","2","2","2","2","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","3","3","3","3","3","3","3","3","3","3","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","3","3","3","3","3","2","2","2","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",402.38,14.6,NA,21.45,NA,NA,NA,268.55,NA,NA,28.19,NA,58.13,NA,NA,NA,NA,NA,NA,NA,NA,7.59,NA,3.87,NA,9
"11",11,50,"2022-04-15 14:17:45",7,"en",1273872894,"2022-04-15 14:10:36","2022-04-15 14:17:45","Yes","Man",NA,"35-44","Europe",NA,"3","3","3","3","1","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","3","3","3","3","3","3","3","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",433.18,22.92,NA,33.61,NA,NA,NA,67.3,NA,NA,126.41,NA,168.46,NA,NA,NA,NA,NA,NA,NA,NA,7.66,NA,6.82,NA,13
"12",12,51,"2022-04-15 14:18:21",7,"en",144778546,"2022-04-15 14:11:44","2022-04-15 14:18:21","Yes","Man",NA,"18-24","Europe",NA,"1","1","1","1","1","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","5","5","3","0","1","1","5","4","2","5","4","3","2","1","1","4","4","1","1","1","3","2","5","4","3","4","4","4","2","5","1","1","1","1","1","1","2","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",401.04,8.15,NA,10.9,NA,NA,NA,41.75,NA,NA,33.89,NA,289.47,NA,NA,NA,NA,NA,NA,NA,NA,13.58,NA,3.3,NA,5
"13",13,52,"2022-04-15 14:31:26",7,"en",1929145554,"2022-04-15 14:11:47","2022-04-15 14:31:26","Yes","Man",NA,"18-24","Europe",NA,"2","2","1","2","1","Olympics ","2","FINA World Aquatics Championships","2","European Aquatics Championships","1","Open de France de Natation","1","NCAA swimming division I","1","Yes","5","3","2","2","3","1","5","4","2","5","5","3","1","3","2","1","2","2","3","2","1","1","5","4","2","1","4","4","4","3","1","1","2","1","2","2","1","How much strength is applied at the start on the block","5","The distance at which swimmers enter the water with their dives","4","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",1183.12,139.89,NA,14.78,NA,NA,NA,198.9,NA,NA,37.5,NA,387.76,NA,NA,NA,NA,NA,NA,NA,NA,378.04,NA,26.25,NA,8
"14",14,56,"2022-04-15 15:58:01",7,"en",1082005283,"2022-04-15 15:52:36","2022-04-15 15:58:01","Yes","Woman",NA,"35-44","Europe",NA,"1","0","0","0","0","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","3","1","2","1","3","1","4","3","3","4","4","4","4","4","3","2","1","3","2","4","1","1","4","4","5","5","3","1","1","2","3","5","4","3","1","2","1","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",328.75,4.5,NA,6.31,NA,NA,NA,14.62,NA,NA,15.46,NA,250.9,NA,NA,NA,NA,NA,NA,NA,NA,31.48,NA,5.48,NA,1
"15",15,57,"2022-04-15 16:35:17",7,"en",2014474568,"2022-04-15 16:20:10","2022-04-15 16:35:17","Yes","Woman",NA,"65-74","Europe",NA,"1","1","1","1","1","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","No","4","4","1","1","1","1","4","1","1","1","4","1","1","1","1","1","1","1","1","4","1","1","5","3","4","3","1","1","3","1","1","3","3","1","1","1","1","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","Most of the questions concern coaches of swimmers, not TV spectators. I am not a coach. Only an interested viewer of swimming races on TV.",910.9,21.88,NA,31.08,NA,NA,NA,106.32,NA,NA,152.92,NA,511.48,NA,NA,NA,NA,NA,NA,NA,NA,12.9,NA,74.32,NA,5
"16",16,60,"2022-04-15 19:34:29",7,"en",445694205,"2022-04-15 19:09:01","2022-04-15 19:34:29","Yes","Woman",NA,"35-44","Europe",NA,"2","2","1","1","1","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","4","4","3","2","3","2","5","4","4","4","3","4","4","4","3","4","4","3","3","3","1","1","5","4","2","4","4","4","4","3","1","2","1","2","1","3","2","Distances to winner and to consecutive swimmers after completion of race (i.e. 5cm 2nd to 1st) ","5","Training kilometers or training techniques before a race starts","4","How far they jump from the blocks","3","How fast a swimmer turns","3","Speed after turn (how good the turn is) ","4","Water position of a swimmer","3","Infos on successes or PBs of swimmers just before the race","4","Development of swimming times of a swimmer (before race starts) ","4",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","Good to understand",1532.37,36.66,NA,112.5,NA,NA,NA,103.72,NA,NA,93.5,NA,657.81,NA,NA,NA,NA,NA,NA,NA,NA,510.91,NA,17.27,NA,7
"17",17,64,"2022-04-15 21:31:43",7,"en",1365384197,"2022-04-15 21:18:07","2022-04-15 21:31:43","Yes","Woman",NA,"25-34","North America",NA,"3","1","1","2","2","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","5","5","2","2","2","1","5","5","3","5","4","5","4","4","3","4","5","2","1","3","2","1","5","4","5","3","5","4","5","5","2","3","3","4","2","3","2","Stroke tempo (duration to complete a stroke)","4","Distance underwater (meters spent underwater off start and turns)","5","Number of underwater kicks (off to start and turns)","4","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","No",819.52,32.01,NA,11.54,NA,NA,NA,79.47,NA,NA,351.29,NA,228.65,NA,NA,NA,NA,NA,NA,NA,NA,101.81,NA,14.75,NA,9
"18",18,69,"2022-04-16 09:55:58",7,"en",1359204658,"2022-04-16 09:51:05","2022-04-16 09:55:58","Yes","Man",NA,"35-44","Europe",NA,"0","0","0","0","0","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","No","3","3","3","3","3","3","4","2","2","3","2","1","1","2","1","1","1","1","1","1","1","1","2","2","1","2","1","2","2","1","1","2","1","1","1","1","1","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",294.22,7.3,NA,10.99,NA,NA,NA,21.05,NA,NA,45.27,NA,164.08,NA,NA,NA,NA,NA,NA,NA,NA,27.12,NA,18.41,NA,0
"19",19,70,"2022-04-17 03:08:44",7,"en",1246486685,"2022-04-17 03:05:09","2022-04-17 03:08:44","Yes","Man",NA,"18-24","North America",NA,"2","0","1","0","0","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","3","2","3","1","3","3","5","5","4","5","3","1","4","1","5","5","1","1","1","2","0","2","5","5","2","3","5","2","3","5","1","4","1","1","1","3","1","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",216.17,10.25,NA,10.3,NA,NA,NA,29.92,NA,NA,24.64,NA,130.2,NA,NA,NA,NA,NA,NA,NA,NA,7.45,NA,3.41,NA,3
"20",20,71,"2022-04-19 11:37:26",7,"en",633051147,"2022-04-19 11:32:46","2022-04-19 11:37:26","Yes","Man",NA,"25-34","Europe",NA,"2","2","1","1","0","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","2","4","2","2","4","4","4","4","4","4","4","2","2","3","1","4","1","3","3","4","1","2","4","4","4","4","3","3","3","3","4","4","4","4","1","1","1","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",283.72,26.36,NA,9.79,NA,NA,NA,40.26,NA,NA,21.05,NA,174.04,NA,NA,NA,NA,NA,NA,NA,NA,7.75,NA,4.47,NA,6
"21",21,72,"2022-04-19 17:13:01",7,"en",1078293144,"2022-04-19 17:00:21","2022-04-19 17:13:01","Yes","Man",NA,"45-54","North America",NA,"1","1","0","0","1","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","5","5","5","1","3","1","0","0","0","5","5","1","1","1","1","1","1","1","3","4","1","1","5","5","1","5","3","4","5","1","0","5","4","4","1","1","1","AR visualizations when the hand is touching the wall or the clock","4","AR data visualizations using the deep camera","5","Moments of breading ","5","Kicking Moments accelerations","5","Distance of entering the water at the start","5","Distance inside the water (braces)","5","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","Thank you, very nice research AR visualization project",763.77,15.66,NA,15.7,NA,NA,NA,50.39,NA,NA,31.62,NA,297.84,NA,NA,NA,NA,NA,NA,NA,NA,309.03,NA,43.53,NA,3
"22",22,73,"2022-04-19 17:13:35",7,"en",1886146996,"2022-04-19 17:02:07","2022-04-19 17:13:35","Yes","Woman",NA,"25-34","Europe",NA,"1","1","0","0","0","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","1","5","5","1","5","5","3","0","0","0","0","5","5","4","5","4","4","5","5","5","5","1","5","5","5","1","4","5","4","4","2","4","2","2","1","1","1","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",691,88.44,NA,39.19,NA,NA,NA,192.97,NA,NA,64.73,NA,265.13,NA,NA,NA,NA,NA,NA,NA,NA,17.01,NA,23.53,NA,2
"23",23,74,"2022-04-19 17:28:13",7,"en",1904090373,"2022-04-19 17:25:34","2022-04-19 17:28:13","Yes","Prefer not to tell",NA,"75 or older","North America",NA,"3","2","1","0","0","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","No","2","4","2","5","1","0","5","2","0","0","4","0","4","0","5","0","4","3","3","2","4","0","5","4","0","1","2","2","2","3","3","3","1","5","1","5","1","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",162.68,9.38,NA,14.55,NA,NA,NA,33.65,NA,NA,24.28,NA,68.29,NA,NA,NA,NA,NA,NA,NA,NA,9.28,NA,3.25,NA,6
"24",24,75,"2022-04-19 17:50:38",7,"en",187819467,"2022-04-19 17:45:07","2022-04-19 17:50:38","Yes","Woman",NA,"18-24","Europe",NA,"2","0","1","1","0","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","3","3","2","2","1","1","4","4","3","3","4","4","4","2","2","4","3","4","4","4","3","2","3","2","4","5","3","5","4","4","2","4","1","1","1","1","1","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","",335.22,17.51,NA,9.18,NA,NA,NA,31.69,NA,NA,39.85,NA,217.89,NA,NA,NA,NA,NA,NA,NA,NA,12.48,NA,6.62,NA,4
"25",25,76,"2022-04-19 17:53:46",7,"en",544518778,"2022-04-19 17:46:59","2022-04-19 17:53:46","Yes","Woman",NA,"35-44","Europe",NA,"2","0","0","0","0","","Did not select","","Did not select","","Did not select","","Did not select","","Did not select","Yes","4","4","4","2","4","4","4","5","1","2","4","5","5","3","3","5","5","1","5","4","5","1","5","5","1","1","5","5","5","5","2","5","4","5","1","1","1","Average number of stroke","5","Comparison of number of stroke between swimmers","5","Time  and speed spent turning","5","Distance under water when turning","5","When they emerged from the water compared to others","5","","Did not select","","Did not select","","Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select",NA,"Did not select","N/A",409.89,12.57,NA,10.15,NA,NA,NA,28.25,NA,NA,36.85,NA,165.62,NA,NA,NA,NA,NA,NA,NA,NA,147.24,NA,9.21,NA,2
