"","nationality_interest","name_interest","age_interest","gender_interest","height_interest","weight_interest","elapsed_time_interest","lap_time_difference_to_other_swimmers_interest","average_lap_time_interest","current_lap_time_interest","lap_time_difference_to_a_record_interest","speed_difference_to_other_swimmers_interest","speed_differences_to_a_record_interest","current_speed","average_speed","history_of_speed","speed_related_events","distance_swam","remaining_distance","distance_difference_to_leader","trace_of_movement","side_by_side_distance","world_record","competition_record","national_record","personal_record","distance_per_stroke","reaction_time","diving_distance","stroke_count","next_passing","record_break","winner","estimation_completion_time","social_media_followers","social_media_by_swimmer","sponsor"
"1","Extremely interested","Very interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Extremely interested","Very interested","Extremely interested","Very interested","Extremely interested","Extremely interested","Extremely interested","Very interested","Moderately interested","Very interested","Very interested","Moderately interested","Moderately interested","Very interested","Very interested","Slightly interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Very interested","Very interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Moderately interested","Slightly interested","Slightly interested"
"2","Extremely interested","Extremely interested","Slightly interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Slightly interested","Slightly interested","Not interested at all","Slightly interested","Extremely interested","Not interested at all","Not interested at all","Extremely interested","Moderately interested","Not interested at all","Slightly interested","Not interested at all","Moderately interested","Not interested at all","Not interested at all","Moderately interested","Moderately interested","Extremely interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all"
"3","Moderately interested","Moderately interested","Slightly interested","Slightly interested","Slightly interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Very interested","Very interested","Very interested","Slightly interested","Slightly interested","Very interested","Slightly interested","Moderately interested","Very interested","Slightly interested","Not interested at all","Very interested","Very interested","Moderately interested","Moderately interested","Very interested","Very interested","Slightly interested","Slightly interested","Moderately interested","Very interested","Very interested","Moderately interested","I do not know. / I did not understand the question.","Moderately interested","I do not know. / I did not understand the question."
"4","Extremely interested","Slightly interested","Extremely interested","Very interested","Very interested","Very interested","Moderately interested","Very interested","Very interested","Very interested","Extremely interested","Extremely interested","Extremely interested","Very interested","Not interested at all","Very interested","Moderately interested","Slightly interested","Very interested","Extremely interested","Moderately interested","Not interested at all","Extremely interested","Very interested","Slightly interested","Extremely interested","Extremely interested","Moderately interested","Very interested","I do not know. / I did not understand the question.","Slightly interested","Extremely interested","Extremely interested","Very interested","Not interested at all","Not interested at all","Not interested at all"
"5","Very interested","Very interested","Moderately interested","Not interested at all","Slightly interested","Slightly interested","Moderately interested","Slightly interested","Slightly interested","Moderately interested","Very interested","Moderately interested","Very interested","Moderately interested","Slightly interested","I do not know. / I did not understand the question.","Extremely interested","Moderately interested","Extremely interested","Extremely interested","Not interested at all","Not interested at all","Extremely interested","Very interested","Slightly interested","Very interested","Very interested","Very interested","Moderately interested","Moderately interested","Very interested","Extremely interested","Extremely interested","Very interested","Not interested at all","Moderately interested","Slightly interested"
"6","Extremely interested","Extremely interested","Moderately interested","Not interested at all","Slightly interested","Slightly interested","Very interested","Very interested","Slightly interested","Slightly interested","Slightly interested","Moderately interested","Very interested","Very interested","Slightly interested","Moderately interested","Very interested","Moderately interested","Extremely interested","Extremely interested","Moderately interested","Extremely interested","Moderately interested","Moderately interested","Slightly interested","Slightly interested","Very interested","Very interested","Very interested","Very interested","Moderately interested","Very interested","Extremely interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all"
"7","Very interested","Moderately interested","Very interested","Very interested","Moderately interested","Moderately interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Slightly interested","Not interested at all","Not interested at all","Very interested","Not interested at all","Very interested","Very interested","Extremely interested","Extremely interested","Slightly interested","Very interested","Very interested","Very interested","Very interested","Not interested at all","Not interested at all","Not interested at all"
"8","Very interested","Very interested","Moderately interested","Very interested","Slightly interested","Slightly interested","Extremely interested","Moderately interested","Very interested","Very interested","Very interested","Very interested","Slightly interested","Slightly interested","Slightly interested","Moderately interested","Very interested","Slightly interested","Very interested","Very interested","Slightly interested","Not interested at all","Very interested","Moderately interested","Very interested","Moderately interested","Slightly interested","Moderately interested","Slightly interested","Moderately interested","Moderately interested","Moderately interested","Very interested","Very interested","Not interested at all","Not interested at all","Not interested at all"
"9","Moderately interested","Very interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Extremely interested","Very interested","Slightly interested","Slightly interested","Very interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Moderately interested","Moderately interested","Moderately interested","Slightly interested","Not interested at all","Not interested at all","Very interested","Slightly interested","Not interested at all","Moderately interested","Very interested","Very interested","Moderately interested","Extremely interested","Slightly interested","Very interested","Very interested","Extremely interested","Not interested at all","Not interested at all","Not interested at all"
"10","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Slightly interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Slightly interested","Slightly interested","Slightly interested"
"11","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested"
"12","Extremely interested","Extremely interested","Moderately interested","I do not know. / I did not understand the question.","Not interested at all","Not interested at all","Extremely interested","Very interested","Slightly interested","Extremely interested","Very interested","Moderately interested","Slightly interested","Not interested at all","Not interested at all","Very interested","Very interested","Not interested at all","Not interested at all","Not interested at all","Moderately interested","Slightly interested","Extremely interested","Very interested","Moderately interested","Very interested","Very interested","Very interested","Slightly interested","Extremely interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Slightly interested"
"13","Extremely interested","Moderately interested","Slightly interested","Slightly interested","Moderately interested","Not interested at all","Extremely interested","Very interested","Slightly interested","Extremely interested","Extremely interested","Moderately interested","Not interested at all","Moderately interested","Slightly interested","Not interested at all","Slightly interested","Slightly interested","Moderately interested","Slightly interested","Not interested at all","Not interested at all","Extremely interested","Very interested","Slightly interested","Not interested at all","Very interested","Very interested","Very interested","Moderately interested","Not interested at all","Not interested at all","Slightly interested","Not interested at all","Slightly interested","Slightly interested","Not interested at all"
"14","Moderately interested","Not interested at all","Slightly interested","Not interested at all","Moderately interested","Not interested at all","Very interested","Moderately interested","Moderately interested","Very interested","Very interested","Very interested","Very interested","Very interested","Moderately interested","Slightly interested","Not interested at all","Moderately interested","Slightly interested","Very interested","Not interested at all","Not interested at all","Very interested","Very interested","Extremely interested","Extremely interested","Moderately interested","Not interested at all","Not interested at all","Slightly interested","Moderately interested","Extremely interested","Very interested","Moderately interested","Not interested at all","Slightly interested","Not interested at all"
"15","Very interested","Very interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Very interested","Not interested at all","Not interested at all","Not interested at all","Very interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Very interested","Not interested at all","Not interested at all","Extremely interested","Moderately interested","Very interested","Moderately interested","Not interested at all","Not interested at all","Moderately interested","Not interested at all","Not interested at all","Moderately interested","Moderately interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all"
"16","Very interested","Very interested","Moderately interested","Slightly interested","Moderately interested","Slightly interested","Extremely interested","Very interested","Very interested","Very interested","Moderately interested","Very interested","Very interested","Very interested","Moderately interested","Very interested","Very interested","Moderately interested","Moderately interested","Moderately interested","Not interested at all","Not interested at all","Extremely interested","Very interested","Slightly interested","Very interested","Very interested","Very interested","Very interested","Moderately interested","Not interested at all","Slightly interested","Not interested at all","Slightly interested","Not interested at all","Moderately interested","Slightly interested"
"17","Extremely interested","Extremely interested","Slightly interested","Slightly interested","Slightly interested","Not interested at all","Extremely interested","Extremely interested","Moderately interested","Extremely interested","Very interested","Extremely interested","Very interested","Very interested","Moderately interested","Very interested","Extremely interested","Slightly interested","Not interested at all","Moderately interested","Slightly interested","Not interested at all","Extremely interested","Very interested","Extremely interested","Moderately interested","Extremely interested","Very interested","Extremely interested","Extremely interested","Slightly interested","Moderately interested","Moderately interested","Very interested","Slightly interested","Moderately interested","Slightly interested"
"18","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Very interested","Slightly interested","Slightly interested","Moderately interested","Slightly interested","Not interested at all","Not interested at all","Slightly interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Slightly interested","Slightly interested","Not interested at all","Slightly interested","Not interested at all","Slightly interested","Slightly interested","Not interested at all","Not interested at all","Slightly interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all"
"19","Moderately interested","Slightly interested","Moderately interested","Not interested at all","Moderately interested","Moderately interested","Extremely interested","Extremely interested","Very interested","Extremely interested","Moderately interested","Not interested at all","Very interested","Not interested at all","Extremely interested","Extremely interested","Not interested at all","Not interested at all","Not interested at all","Slightly interested","I do not know. / I did not understand the question.","Slightly interested","Extremely interested","Extremely interested","Slightly interested","Moderately interested","Extremely interested","Slightly interested","Moderately interested","Extremely interested","Not interested at all","Very interested","Not interested at all","Not interested at all","Not interested at all","Moderately interested","Not interested at all"
"20","Slightly interested","Very interested","Slightly interested","Slightly interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Slightly interested","Slightly interested","Moderately interested","Not interested at all","Very interested","Not interested at all","Moderately interested","Moderately interested","Very interested","Not interested at all","Slightly interested","Very interested","Very interested","Very interested","Very interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Very interested","Very interested","Very interested","Very interested","Not interested at all","Not interested at all","Not interested at all"
"21","Extremely interested","Extremely interested","Extremely interested","Not interested at all","Moderately interested","Not interested at all","I do not know. / I did not understand the question.","I do not know. / I did not understand the question.","I do not know. / I did not understand the question.","Extremely interested","Extremely interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Moderately interested","Very interested","Not interested at all","Not interested at all","Extremely interested","Extremely interested","Not interested at all","Extremely interested","Moderately interested","Very interested","Extremely interested","Not interested at all","I do not know. / I did not understand the question.","Extremely interested","Very interested","Very interested","Not interested at all","Not interested at all","Not interested at all"
"22","Not interested at all","Extremely interested","Extremely interested","Not interested at all","Extremely interested","Extremely interested","Moderately interested","I do not know. / I did not understand the question.","I do not know. / I did not understand the question.","I do not know. / I did not understand the question.","I do not know. / I did not understand the question.","Extremely interested","Extremely interested","Very interested","Extremely interested","Very interested","Very interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Not interested at all","Extremely interested","Extremely interested","Extremely interested","Not interested at all","Very interested","Extremely interested","Very interested","Very interested","Slightly interested","Very interested","Slightly interested","Slightly interested","Not interested at all","Not interested at all","Not interested at all"
"23","Slightly interested","Very interested","Slightly interested","Extremely interested","Not interested at all","I do not know. / I did not understand the question.","Extremely interested","Slightly interested","I do not know. / I did not understand the question.","I do not know. / I did not understand the question.","Very interested","I do not know. / I did not understand the question.","Very interested","I do not know. / I did not understand the question.","Extremely interested","I do not know. / I did not understand the question.","Very interested","Moderately interested","Moderately interested","Slightly interested","Very interested","I do not know. / I did not understand the question.","Extremely interested","Very interested","I do not know. / I did not understand the question.","Not interested at all","Slightly interested","Slightly interested","Slightly interested","Moderately interested","Moderately interested","Moderately interested","Not interested at all","Extremely interested","Not interested at all","Extremely interested","Not interested at all"
"24","Moderately interested","Moderately interested","Slightly interested","Slightly interested","Not interested at all","Not interested at all","Very interested","Very interested","Moderately interested","Moderately interested","Very interested","Very interested","Very interested","Slightly interested","Slightly interested","Very interested","Moderately interested","Very interested","Very interested","Very interested","Moderately interested","Slightly interested","Moderately interested","Slightly interested","Very interested","Extremely interested","Moderately interested","Extremely interested","Very interested","Very interested","Slightly interested","Very interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all"
"25","Very interested","Very interested","Very interested","Slightly interested","Very interested","Very interested","Very interested","Extremely interested","Not interested at all","Slightly interested","Very interested","Extremely interested","Extremely interested","Moderately interested","Moderately interested","Extremely interested","Extremely interested","Not interested at all","Extremely interested","Very interested","Extremely interested","Not interested at all","Extremely interested","Extremely interested","Not interested at all","Not interested at all","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Slightly interested","Extremely interested","Very interested","Extremely interested","Not interested at all","Not interested at all","Not interested at all"
"26","Very interested","Moderately interested","Very interested","Very interested","Very interested","Very interested","Slightly interested","Moderately interested","Slightly interested","Moderately interested","Moderately interested","Extremely interested","Very interested","Very interested","Slightly interested","Extremely interested","Extremely interested","Very interested","Very interested","Very interested","Slightly interested","Slightly interested","Very interested","Very interested","Slightly interested","Very interested","Slightly interested","Very interested","Very interested","Slightly interested","I do not know. / I did not understand the question.","Very interested","Very interested","Very interested","Not interested at all","Not interested at all","Not interested at all"
"27","Extremely interested","Extremely interested","Extremely interested","Not interested at all","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Not interested at all","Not interested at all","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Very interested","Very interested","Very interested","Very interested","Not interested at all","Not interested at all","Not interested at all"
"28","Moderately interested","Extremely interested","Moderately interested","Slightly interested","Extremely interested","Moderately interested","Very interested","Very interested","Slightly interested","Very interested","Very interested","Very interested","Moderately interested","Extremely interested","Very interested","Slightly interested","Slightly interested","Very interested","Extremely interested","Extremely interested","Moderately interested","Slightly interested","Extremely interested","Very interested","Very interested","Very interested","Moderately interested","Extremely interested","Very interested","Moderately interested","Moderately interested","Extremely interested","Moderately interested","Very interested","Not interested at all","Slightly interested","Not interested at all"
"29","Very interested","Very interested","Very interested","Very interested","Very interested","Very interested","Slightly interested","Slightly interested","Slightly interested","Slightly interested","Slightly interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Moderately interested","Not interested at all","Very interested","Very interested","Moderately interested","Slightly interested","Moderately interested","Slightly interested","Slightly interested","Not interested at all","Slightly interested","Slightly interested"
"30","Moderately interested","Moderately interested","Very interested","Moderately interested","Very interested","Very interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Very interested","Extremely interested","Extremely interested","Extremely interested","Moderately interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Slightly interested","Slightly interested","Slightly interested","Slightly interested","Not interested at all","Not interested at all","Not interested at all"
"31","Extremely interested","Extremely interested","Extremely interested","I do not know. / I did not understand the question.","Moderately interested","Moderately interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Very interested","Extremely interested","Extremely interested","Moderately interested","Very interested","Moderately interested","Moderately interested","Very interested","Slightly interested","Slightly interested","Extremely interested","Extremely interested","Very interested","Extremely interested","Moderately interested","Very interested","Very interested","Moderately interested","Slightly interested","Slightly interested","Slightly interested","Moderately interested","Not interested at all","Not interested at all","Not interested at all"
"32","Extremely interested","Extremely interested","Extremely interested","Not interested at all","Moderately interested","Slightly interested","I do not know. / I did not understand the question.","Moderately interested","Not interested at all","Moderately interested","Slightly interested","Moderately interested","Moderately interested","Moderately interested","Not interested at all","Moderately interested","Moderately interested","Not interested at all","Not interested at all","Moderately interested","Not interested at all","Not interested at all","Extremely interested","Very interested","Moderately interested","Very interested","Not interested at all","Moderately interested","Slightly interested","Moderately interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Moderately interested","Moderately interested","Slightly interested"
"33","Very interested","Very interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Slightly interested","Slightly interested","Very interested","Moderately interested","Very interested","Very interested","Moderately interested","Very interested","Moderately interested","Moderately interested","Very interested","Not interested at all","Very interested","Very interested","Moderately interested","Not interested at all","Very interested","Very interested","Very interested","Very interested","Extremely interested","Extremely interested","Extremely interested","Extremely interested","Very interested","Very interested","Not interested at all","Not interested at all","Slightly interested","Slightly interested","Not interested at all"
"34","Very interested","Extremely interested","Very interested","Very interested","Very interested","Very interested","Very interested","Moderately interested","Very interested","Very interested","Very interested","Moderately interested","Slightly interested","Very interested","Very interested","Slightly interested","Moderately interested","Not interested at all","Very interested","Extremely interested","Moderately interested","Not interested at all","Extremely interested","Extremely interested","Very interested","Extremely interested","Moderately interested","Very interested","Moderately interested","Moderately interested","Very interested","Extremely interested","Extremely interested","Extremely interested","Slightly interested","Slightly interested","Slightly interested"
"35","Extremely interested","Extremely interested","Very interested","Not interested at all","Very interested","Very interested","Extremely interested","Extremely interested","Moderately interested","Extremely interested","Extremely interested","Very interested","Extremely interested","Extremely interested","Very interested","Extremely interested","Very interested","Slightly interested","Slightly interested","Extremely interested","Not interested at all","Not interested at all","Extremely interested","Very interested","Very interested","Very interested","Extremely interested","Extremely interested","Very interested","Slightly interested","Moderately interested","Very interested","Not interested at all","Not interested at all","Not interested at all","Slightly interested","Not interested at all"
"36","Very interested","Very interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Very interested","Very interested","Moderately interested","Very interested","Very interested","Slightly interested","Slightly interested","Moderately interested","Not interested at all","Moderately interested","Not interested at all","Moderately interested","Not interested at all","Slightly interested","Not interested at all","Not interested at all","Very interested","Very interested","Not interested at all","Not interested at all","Not interested at all","Very interested","Slightly interested","Moderately interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all"
"37","Slightly interested","Very interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Extremely interested","Moderately interested","Slightly interested","Very interested","Very interested","Very interested","Moderately interested","Extremely interested","Moderately interested","Slightly interested","Extremely interested","Not interested at all","Very interested","Very interested","Moderately interested","Moderately interested","Extremely interested","Extremely interested","Slightly interested","Moderately interested","Very interested","Very interested","Very interested","Extremely interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all"
"38","Very interested","Very interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Very interested","Slightly interested","Slightly interested","Not interested at all","Moderately interested","Very interested","Not interested at all","Very interested","Not interested at all","Not interested at all","Moderately interested","Slightly interested","Not interested at all","Moderately interested","Not interested at all","Not interested at all","Very interested","Very interested","Very interested","Very interested","Slightly interested","Very interested","Very interested","Very interested","Not interested at all","Very interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all"
"39","Very interested","Extremely interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","I do not know. / I did not understand the question.","Slightly interested","Slightly interested","Not interested at all","Slightly interested","Slightly interested","Moderately interested","Very interested","Very interested","Slightly interested","Moderately interested","Not interested at all","Slightly interested","Extremely interested","Slightly interested","Not interested at all","Very interested","Moderately interested","Slightly interested","Slightly interested","Moderately interested","Moderately interested","Very interested","Slightly interested","Not interested at all","Moderately interested","Not interested at all","Not interested at all","Not interested at all","Not interested at all","Not interested at all"
